name,ditensity,lon,lat
ชุมชนวานิชสัมพันธ์,หนาแน่นปานกลาง,100.513793,13.730395
ชุมชนตลาดน้อย,หนาแน่นปานกลาง,100.511811,13.734578
ชุมชนจงสวัสดิ์,หนาแน่นมาก,100.514964,13.73363
ชุมชนโปลิศสภา,หนาแน่นมาก,100.515317,13.736416
ชุมชนพาดสาย,หนาแน่นมาก,100.509545,13.738747
ชุมชนตรอกโพธิ์,หนาแน่นปานกลาง,100.511203,13.738866
ชุมชนกุศลสามัคคี,หนาแน่นปานกลาง,100.507283,13.742572
ชุมชนโชฎึก,หนาแน่นมาก,100.515337,13.734419
ชุมชนซอยวัดม่วงแคและมัสยิดฮารูณ,หนาแน่นปานกลาง,100.515425,13.725354
ชุมชนซอยไวตี,หนาแน่นมาก,100.524615,13.72363
ชุมชนซอยพิพัฒน์ 2,หนาแน่นมาก,100.532274,13.725547
ชุมชนซอยสันติภาพ,หนาแน่นปานกลาง,100.52514,13.729493
ชุมชนตรอกขุนนาวา,หนาแน่นมาก,100.524802,13.733814
ชุมชนซอยจอมสมบูรณ์,หนาแน่นปานกลาง,100.524286,13.734115
ชุมชนซอยสองพระ,หนาแน่นปานกลาง,100.523484,13.73297
ชุมชนซอยพระนคเรศ,หนาแน่นปานกลาง,100.521975,13.735084
ชุมชนตรอกห้านาย,หนาแน่นมาก,100.517515,13.735674
ชุมชนศรีเวียง,แออัด,100.517637,13.719242
ชุมชนตลาดสดเพชรพลอย,หนาแน่นปานกลาง,100.519857,13.728114
ชุมชนซอยหลังวัดหัวลำโพง,หนาแน่นปานกลาง,100.529562,13.731082
ชุมชนซอยวัดมหาพฤฒาราม(ซอยแก้วฟ้า),หนาแน่นมาก,100.516821,13.734012
ชุมชนหลังวัดแก้วแจ่มฟ้า(สี่พระยา),หนาแน่นมาก,100.518856,13.731965
ชุมชนบ้านครัวใต้,หนาแน่นมาก,100.523707,13.74986
ชุมชนวัดบรมนิวาส,หนาแน่นปานกลาง,100.521071,13.751268
ชุมชนชาวชูชีพ,หนาแน่นปานกลาง,100.518361,13.748998
ชุมชนตรอกสลักหิน,หนาแน่นมาก,100.518109,13.74029
ชุมชนหลังวัดปทุมวนาราม,หนาแน่นปานกลาง,100.537384,13.749128
ชุมชนซอยพระเจน,หนาแน่นปานกลาง,100.546676,13.731048
ชุมชนพัฒนาบ่อนไก่,หนาแน่นมาก,100.550462,13.72462
ชุมชนเคหะชุมชนบ่อนไก่,หนาแน่นปานกลาง,100.552131,13.726191
ชุมชนซอยโปโล,หนาแน่นปานกลาง,100.549878,13.732941
ชุมชนซอยร่วมฤดี,หนาแน่นปานกลาง,100.549845,13.734229
ชุมชนอาเซี่ยน,หนาแน่นปานกลาง,100.53757,13.796652
ชุมชนอุทัยรัตน์,หนาแน่นมาก,100.544543,13.796143
ชุมชนถวัลย์ศักดิ์,หนาแน่นมาก,100.545545,13.795775
ชุมชนวัดไผ่ตัน,หนาแน่นมาก,100.547818,13.795865
ชุมชนอินทามระ 1 (ลับแล),หนาแน่นมาก,100.551303,13.795429
ชุมชนอินทามระ 29 แยก 1,หนาแน่นมาก,100.558642,13.794505
ชุมชนอินทามระ 29 แยก 4,หนาแน่นมาก,100.560467,13.794257
ชุมชนเป็นสุข,หนาแน่นมาก,100.556514,13.784344
ชุมชนวัดมะกอกกลางสวน,หนาแน่นปานกลาง,100.535315,13.770893
ชุมชนบุญชูศรี,หนาแน่นปานกลาง,100.54857,13.769674
ชุมชนสุขสวัสดิ์,หนาแน่นปานกลาง,100.535167,13.772047
ชุมชนวัดมะกอกส่วนหน้า,หนาแน่นมาก,100.534823,13.769764
ชุมชนท่าน้ำสามเสน,หนาแน่นปานกลาง,100.506138,13.783544
ชุมชนซอยสีคาม,หนาแน่นปานกลาง,100.509858,13.785142
ชุมชนหลังบ้านมนังคศิลา,หนาแน่นมาก,100.518698,13.75442
ชุมชนข้างวัดสุคันธาราม,หนาแน่นปานกลาง,100.522346,13.777572
ชุมชนซอยสันติสุข,หนาแน่นปานกลาง,100.521854,13.781627
ชุมชนวัดน้อยนพคุณ,หนาแน่นปานกลาง,100.522501,13.783065
ชุมชนซอยโซดา,หนาแน่นปานกลาง,100.513872,13.780118
ชุมชนซอยราชพัสดุ,หนาแน่นปานกลาง,100.514354,13.786817
ชุมชนพัฒนาซอยสินทรัพย์,หนาแน่นปานกลาง,100.528123,13.78942
ชุมชนพัฒนาซอยระนองกลาง,หนาแน่นปานกลาง,100.530365,13.790886
ชุมชนชาวบางกระบือ 14,หนาแน่นปานกลาง,100.515459,13.789702
ชุมชนถนนสุคันธาราม,หนาแน่นปานกลาง,100.523407,13.775801
ชุมชนวัดเทวราชกุญชร,หนาแน่นปานกลาง,100.501824,13.772519
ชุมชนวัดโบสถ์สามเสน,หนาแน่นปานกลาง,100.511056,13.782278
ชุมชนริมทางรถไฟสายแปดริ้ว,หนาแน่นปานกลาง,100.520133,13.75663
ชุมชนวัดญวน-คลองลำปัก,หนาแน่นปานกลาง,100.517257,13.757516
ชุมชนวัดประชาระบือธรรม 3,หนาแน่นปานกลาง,100.523308,13.792119
ชุมชนวัดประชาระบือธรรม 2,หนาแน่นปานกลาง,100.522802,13.792533
ชุมชนวัดประชาระบือธรรม 4,หนาแน่นปานกลาง,100.523377,13.792992
ชุมชนวัดประชาระบือธรรม 1,หนาแน่นปานกลาง,100.522778,13.793595
ชุมชนซอยเสริมสุข,หนาแน่นปานกลาง,100.522852,13.779579
ชุมชนชาววัดราชา,หนาแน่นปานกลาง,100.506043,13.774521
ชุมชนสุโขทัย ซอย 9(1),หนาแน่นปานกลาง,100.521281,13.773589
ชุมชนพระยาประสิทธิ์,หนาแน่นปานกลาง,100.514114,13.782399
ชุมชนซอยมิตรอนันต์,หนาแน่นปานกลาง,100.527374,13.778477
ชุมชนวัดสวัสดิวารีสีมาราม,หนาแน่นปานกลาง,100.516236,13.782013
ชุมชนองค์การทอผ้า,หนาแน่นปานกลาง,100.518536,13.797925
ชุมชนท่าวาสุกรี,หนาแน่นปานกลาง,100.502177,13.774712
ชุมชนสวนอ้อย,หนาแน่นปานกลาง,100.509882,13.779553
ชุมชนศรีย่าน ซอย 3,หนาแน่นปานกลาง,100.51371,13.785192
ชุมชนนครไชยศรี,หนาแน่นปานกลาง,100.515254,13.781809
ชุมชนราชผาทับทิมร่วมใจ,หนาแน่นปานกลาง,100.50384,13.779581
ชุมชนวัดสามง่าม,หนาแน่นปานกลาง,100.520454,13.749292
ชุมชนทับแก้ว,หนาแน่นปานกลาง,100.589564,13.744427
ชุมชนบึงบัว,หนาแน่นมาก,100.630148,13.688731
ชุมชนประดิพัทธ์ 10,หนาแน่นมาก,100.54108,13.78925
ชุมชนซอยประดิพัทธ์ 11,หนาแน่นมาก,100.541198,13.793087
ชุมชนโรงสี,หนาแน่นปานกลาง,100.547634,13.699092
ชุมชนริมคลองบางกอกใหญ่,หนาแน่นมาก,100.462216,13.74258
ชุมชนวัดเครือวัลย์,หนาแน่นปานกลาง,100.485574,13.746778
ชุมชนวัดนาคกลาง,หนาแน่นปานกลาง,100.483976,13.74606
ชุมชนลานมะขาม-บ้านหม้อ,หนาแน่นปานกลาง,100.484957,13.744393
ชุมชนปรกอรุณ,หนาแน่นมาก,100.487076,13.743549
ชุมชนข้างโรงเรียนพณิชยการราชดำเนิน-ธนบุรี,หนาแน่นมาก,100.484232,13.74187
ชุมชนวัดหงส์รัตนาราม,หนาแน่นมาก,100.487341,13.740501
ชุมชนวัดโมลีโลกยาราม,แออัด,100.489325,13.740662
ชุมชนซอยสมบุญพัฒนา,หนาแน่นมาก,100.472836,13.742977
ชุมชนวัดดีดวด,หนาแน่นมาก,100.474845,13.741373
ชุมชนตรอกตาแทน,หนาแน่นปานกลาง,100.482478,13.73873
ชุมชนวัดใหม่วิเชียร,หนาแน่นมาก,100.480869,13.736386
ชุมชนหลังวัดใหม่วิเชียร,หนาแน่นมาก,100.479943,13.735491
ชุมชนตรอกกระจก,หนาแน่นมาก,100.486172,13.734831
ชุมชนวัดสังข์กระจาย,หนาแน่นมาก,100.484994,13.733349
ชุมชนซอยจำเนียรสุข 3,หนาแน่นมาก,100.4838,13.72934
ชุมชนเพชรเกษม 1,หนาแน่นมาก,100.481625,13.727034
ชุมชนรวมพล,หนาแน่นปานกลาง,100.476973,13.72495
