name,ditensity,lon,lat
ชุมชนศาลเจ้าพ่อเขาตก,แออัด,100.472113,13.723491
ชุมชนวัดประดู่ฉิมพลี,หนาแน่นปานกลาง,100.468579,13.724689
ชุมชนหลังโรงกรองน้ำภาษีเจริญ,หนาแน่นปานกลาง,100.476174,13.733125
ชุมชนวัดท่าพระ,หนาแน่นปานกลาง,100.474587,13.734208
ชุมชนโค้งกระเทียม,หนาแน่นปานกลาง,100.476308,13.737556
ชุมชนหลังโรงเคลือบ,หนาแน่นมาก,100.470124,13.733958
ชุมชนข้างโรงเรียนเสสะเวช,หนาแน่นมาก,100.468437,13.736045
ชุมชนหลังโรงเรียนเสสะเวช,หนาแน่นมาก,100.468546,13.736494
ชุมชนปลายซอยศักดิ์เจริญ,หนาแน่นมาก,100.463527,13.733446
ชุมชนวัดใหม่พิเรนทร์,หนาแน่นมาก,100.481185,13.741543
ชุมชนสวนหลวง,หนาแน่นปานกลาง,100.483878,13.767794
ชุมชนสันติชนสงเคราะห์,หนาแน่นมาก,100.479655,13.763552
ชุมชนวัดสุวรรณาราม,หนาแน่นมาก,100.477865,13.761906
ชุมชนวัดไชยทิศ,หนาแน่นปานกลาง,100.463323,13.768083
ชุมชนวัดรวกสุทธาราม,หนาแน่นมาก,100.466141,13.757915
ชุมชนหลังตลาดนครหลวง,หนาแน่นมาก,100.467221,13.754263
ชุมชนปลายซอยจรัญสนิทวงศ์ 29 (ฝั่งขวา),หนาแน่นปานกลาง,100.4676,13.750511
ชุมชนซอยประชาร่วมใจ,หนาแน่นมาก,100.465967,13.746916
ชุมชนตรอกไผ่-วัดบางเสาธง,หนาแน่นมาก,100.468028,13.744295
ชุมชนวัดดงมูลเหล็ก,หนาแน่นมาก,100.475664,13.752245
ชุมชนวัดพระยาทำ,หนาแน่นมาก,100.48225,13.748145
ชุมชนซอยบ้านช่างหล่อ,หนาแน่นมาก,100.481486,13.754778
ชุมชนเหนือวัดสีหไกรสร,หนาแน่นมาก,100.479709,13.755203
ชุมชนสันติสุข,หนาแน่นมาก,100.479343,13.757733
ชุมชนตรอกวังหลัง,หนาแน่นมาก,100.484837,13.755255
ชุมชนวัดระฆัง,หนาแน่นมาก,100.484612,13.753103
ชุมชนวัดอมรทายิการาม,หนาแน่นมาก,100.47448,13.759502
ชุมชนตรอกข้าวเม่า,หนาแน่นมาก,100.47672,13.758495
ชุมชนซอยสุดสาคร,หนาแน่นปานกลาง,100.474207,13.756479
ชุมชนวัดยางสุทธาราม,หนาแน่นมาก,100.473897,13.75441
ชุมชนสายใต้เก่า,หนาแน่นมาก,100.471559,13.753263
ชุมชนวัดโพธิ์เรียง,หนาแน่นปานกลาง,100.472268,13.7446
ชุมชนวัดอัมพวา,หนาแน่นปานกลาง,100.476121,13.748998
ชุมชนวัดครุฑ,หนาแน่นปานกลาง,100.476836,13.745265
ชุมชนบุปผาสวรรค์,หนาแน่นปานกลาง,100.466533,13.749417
ชุมชนพรพิพัฒน์,หนาแน่นมาก,100.47164,13.757277
ชุมชนซอยจรัญสนิทวงศ์ 41,หนาแน่นปานกลาง,100.473356,13.769877
ชุมชนมัสยิดหลวงอันซอริซซุนนะห์,หนาแน่นมาก,100.485468,13.761967
ชุมชนวัดใหม่ยายแป้น,หนาแน่นปานกลาง,100.473655,13.765169
ชุมชนชวนชื่น,หนาแน่นปานกลาง,100.467862,13.769897
ชุมชนจรัญ 31 รวมใจ,หนาแน่นปานกลาง,100.465136,13.753828
ชุมชนหมู่บ้านพัฒนาหมู่7 แขวงฉิมพลี,หนาแน่นน้อย,100.412687,13.794116
ชุมชนสะพานผัก-คลองศาลเจ้า,หนาแน่นน้อย,100.44326,13.796257
ชุมชนริมทางรถไฟชัยพฤกษ์,หนาแน่นน้อย,100.458554,13.787166
ชุมชนวัดช่างเหล็ก-วัดเรไร,หนาแน่นมาก,100.454001,13.773008
ชุมชนริมคลองชักพระ,หนาแน่นปานกลาง,100.466048,13.780711
ชุมชนหลังวัดกาญจนสิงหาสน์,หนาแน่นน้อย,100.454202,13.76046
ชุมชนหลังวัดรัชฎาธิษฐาน,หนาแน่นน้อย,100.457661,13.755667
ชุมชนวัดชัยพฤกษมาลา,หนาแน่นปานกลาง,100.46725,13.794341
ชุมชนซอยพฤกษอุดม-วัดน้อยใน,หนาแน่นปานกลาง,100.465556,13.791351
ชุมชนวัดกระจัง,หนาแน่นน้อย,100.440754,13.77445
ชุมชนวัดมณฑป,หนาแน่นน้อย,100.448702,13.773585
ชุมชนหมู่บ้านพัฒนาหมู่ 13 แขวงบางระมาด,หนาแน่นน้อย,100.446033,13.770737
ชุมชนวัดจำปา,หนาแน่นน้อย,100.434611,13.773805
ชุมชนหมู่บ้านพัฒนาหมู่ 4 แขวงบางระมาด,หนาแน่นน้อย,100.427338,13.771119
ชุมชนวัดมะกอก,หนาแน่นน้อย,100.428762,13.775748
"ชุมชนหมู่บ้านพัฒนาวัดกาญจนสิงหาสน์ (18,19)",หนาแน่นน้อย,100.447351,13.758046
ชุมชนหมู่บ้านพัฒนาหมู่ 6 แขวงบางระมาด,หนาแน่นน้อย,100.431548,13.77505
"ชุมชนหมู่ 1,3 บางพรม",หนาแน่นปานกลาง,100.456616,13.744627
ชุมชนศาลเจ้าพ่อจุ้ย,หนาแน่นน้อย,100.455536,13.782044
ชุมชนศาลาหลังบ้าน,หนาแน่นน้อย,100.450135,13.757075
ชุมชนโรงเรียนวัดตลิ่งชัน,หนาแน่นปานกลาง,100.456927,13.780296
ชุมชนบ้านลุ่ม,หนาแน่นปานกลาง,100.458691,13.78181
ชุมชนหลังวัดปากน้ำฝั่งเหนือ,หนาแน่นมาก,100.460701,13.74665
ชุมชนวัดเพลงกลางสวน,หนาแน่นน้อย,100.440621,13.752915
ชุมชนวัดสมรโกฏิ-บางระจัน,หนาแน่นน้อย,100.44479,13.773813
ชุมชนวัดดาวคะนอง,หนาแน่นปานกลาง,100.48772,13.69625
ชุมชนมะนาวหวาน,หนาแน่นมาก,100.486059,13.698207
ชุมชนเจริญนคร 66,หนาแน่นมาก,100.486961,13.702331
